id_venda,data_venda,cliente,produto,categoria,regiao,quantidade,preco_unitario
51,2026-09-14,Cliente_018,Mouse,Periféricos,Sul,3.0,120.0
52,2026-05-26,Cliente_005,Smartphone,Celulares,Centro-Oeste,,2200.0
53,2026-07-27,Cliente_002,Tablet,Celulares,Sudeste,7.0,1800.0
54,2026-05-04,Cliente_006,Monitor,Computadores,Sudeste,5.0,1200.0
55,2026-01-06,Cliente_017,Tablet,Celulares,Centro-Oeste,6.0,1800.0
56,2026-12-07,Cliente_017,Smartphone,Celulares,Norte,9.0,2200.0
57,2026-11-24,Cliente_008,Teclado,Periféricos,Centro-Oeste,3.0,250.0
58,DATA INVALIDA,Cliente_016,Smartphone,Celulares,Centro-Oeste,6.0,2200.0
59,2026-06-01,Cliente_029,Mouse,Periféricos,Norte,4.0,120.0
60,2026-12-30,Cliente_008,Mouse,Periféricos,Centro-Oeste,10.0,120.0
61,2026-01-24,Cliente_001,Notebook,Computadores,Sudeste,9.0,3500.0
62,2026-10-04,Cliente_006,Notebook,Computadores,Sudeste,10.0,3500.0
63,2026-10-30,Cliente_029,Mouse,Periféricos,Norte,4.0,120.0
64,2026-05-04,Cliente_030,Tablet,Celulares,Centro-Oeste,10.0,1800.0
65,2026-08-05,Cliente_021,Monitor,Computadores,Sul,9.0,1200.0
66,2026-12-25,Cliente_028,Mouse,Periféricos,Sudeste,2.0,120.0
67,2026-09-26,Cliente_030,Mouse,Periféricos,Sul,7.0,120.0
68,2026-07-15,Cliente_012,Teclado,Periféricos,Centro-Oeste,9.0,250.0
69,2026-06-28,Cliente_004,Smartphone,Celulares,Centro-Oeste,1.0,2200.0
70,2026-03-16,Cliente_012,Teclado,Periféricos,Sudeste,1.0,250.0
71,2026-07-08,Cliente_002,  Smartphone ,Celulares,Sul,1.0,2200.0
72,2026-10-15,Cliente_002,Monitor,Computadores,Sudeste,3.0,1200.0
73,2026-05-08,Cliente_004,Smartphone,Celulares,Centro-Oeste,7.0,2200.0
74,2026-10-22,Cliente_026,Notebook,Computadores,Sudeste,2.0,3500.0
75,2026-12-02,Cliente_025,  Tablet ,Celulares,Sul,96.0,1800.0
76,2026-05-13,Cliente_010,Tablet,Celulares,Sudeste,10.0,1800.0
77,DATA INVALIDA,Cliente_016,Smartphone,Celulares,Norte,2.0,2200.0
78,2026-03-01,Cliente_022,Smartphone,Celulares,Sudeste,3.0,2200.0
79,2026-09-19,Cliente_027,Tablet,Celulares,Sul,6.0,10800.0
80,2026-10-04,Cliente_009,Notebook,Computadores,Nordeste,2.0,3500.0
81,2026-04-05,Cliente_012,Monitor,Computadores,Norte,3.0,1200.0
82,2026-01-29,Cliente_015,Teclado,Periféricos,Sul,9.0,250.0
83,2026-09-03,Cliente_007,Smartphone,Celulares,Centro-Oeste,8.0,2200.0
84,2026-02-07,Cliente_012,Tablet,Celulares,Nordeste,96.0,1800.0
85,2026-06-20,Cliente_026,Teclado,Periféricos,Sul,4.0,250.0
86,2026-02-07,Cliente_022,Mouse,Periféricos,Centro-Oeste,1.0,
87,2026-02-01,Cliente_020,Tablet,Celulares,Sudeste,6.0,1800.0
88,2026-09-28,Cliente_007,Notebook,Computadores,Sul,7.0,3500.0
89,2026-08-17,Cliente_030,Monitor,Computadores,Sudeste,3.0,1200.0
90,2026-03-15,Cliente_027,Teclado,Periféricos,Nordeste,8.0,250.0
91,2026-02-09,Cliente_005,Tablet,Celulares,Centro-Oeste,3.0,1800.0
92,2026-04-05,Cliente_013,Mouse,Periféricos,Norte,9.0,120.0
93,2026-02-19,Cliente_026,Tablet,Celulares,Sul,9.0,1800.0
94,2026-01-28,Cliente_021,Smartphone,Celulares,Nordeste,2.0,2200.0
95,2026-08-28,Cliente_022,Monitor,Computadores,Sul,3.0,1200.0
96,2026-09-20,Cliente_015,Notebook,Computadores,Centro-Oeste,8.0,3500.0
97,2026-06-17,Cliente_001,Tablet,Celulares,Norte,6.0,1800.0
98,2026-08-04,Cliente_001,Tablet,Celulares,Sul,3.0,1800.0
99,2026-03-11,Cliente_028,  Teclado ,Periféricos,Nordeste,3.0,250.0
100,2026-05-21,Cliente_003,Smartphone,Celulares,Sul,2.0,2200.0
101,2026-09-26,Cliente_029,Teclado,Periféricos,Nordeste,5.0,250.0
102,2026-12-28,Cliente_016,Teclado,Periféricos,Sul,6.0,250.0
103,2026-01-18,Cliente_014,Monitor,Computadores,Centro-Oeste,8.0,1200.0
104,2026-03-27,Cliente_005,Mouse,Periféricos,Nordeste,8.0,120.0
105,2026-05-28,Cliente_013,Mouse,Periféricos,Sudeste,7.0,120.0
106,DATA INVALIDA,Cliente_016,Tablet,Celulares,Nordeste,7.0,1800.0
107,2026-11-03,Cliente_016,  Monitor ,Computadores,Sudeste,4.0,1200.0
108,2026-11-26,Cliente_005,Monitor,Computadores,Nordeste,5.0,1200.0
109,2026-02-03,Cliente_017,Notebook,Computadores,Norte,7.0,3500.0
110,2026-11-22,Cliente_003,Monitor,Computadores,Sul,3.0,1200.0
111,2026-06-25,Cliente_015,Tablet,Celulares,Sul,1.0,1800.0
112,2026-01-16,Cliente_006,Mouse,Periféricos,Norte,1.0,120.0
113,2026-05-07,Cliente_005,Tablet,Celulares,Centro-Oeste,6.0,10800.0
114,2026-05-05,Cliente_002,Monitor,Computadores,Sudeste,3.0,1200.0
115,2026-10-28,Cliente_021,Monitor,Computadores,Norte,,1200.0
116,2026-03-20,Cliente_026,Mouse,Periféricos,Sul,12.0,120.0
117,2026-10-02,Cliente_021,Monitor,Computadores,Nordeste,1.0,1200.0
118,2026-05-22,Cliente_007,Tablet,Celulares,Nordeste,9.0,1800.0
119,2026-06-17,Cliente_011,Mouse,Periféricos,Sudeste,7.0,120.0
120,2026-12-24,Cliente_015,Mouse,Periféricos,Centro-Oeste,1.0,120.0
121,2026-08-11,Cliente_027,Mouse,Periféricos,Sudeste,6.0,120.0
122,2026-05-24,Cliente_019,Tablet,Celulares,Centro-Oeste,10.0,1800.0
123,2026-05-29,Cliente_013,Smartphone,Celulares,Centro-Oeste,7.0,2200.0
124,DATA INVALIDA,Cliente_009,Monitor,Computadores,Centro-Oeste,8.0,1200.0
125,2026-09-28,Cliente_026,Monitor,Computadores,Centro-Oeste,6.0,1200.0
126,2026-11-09,Cliente_009,Mouse,Periféricos,Sudeste,6.0,120.0
127,2026-08-03,Cliente_001,Smartphone,Celulares,Norte,5.0,2200.0
128,2026-01-26,Cliente_003,Smartphone,Celulares,Sudeste,9.0,2200.0
129,2026-08-29,Cliente_014,Monitor,Computadores,Sul,4.0,7200.0
130,2026-10-10,Cliente_020,Tablet,Celulares,Norte,8.0,1800.0
131,2026-01-01,Cliente_027,Smartphone,Celulares,Sudeste,1.0,2200.0
132,2026-03-15,Cliente_021,Monitor,Computadores,Nordeste,,1200.0
133,2026-11-09,Cliente_017,Smartphone,Celulares,Nordeste,4.0,2200.0
134,2026-12-08,Cliente_015,Smartphone,Celulares,Norte,4.0,2200.0
135,2026-02-17,Cliente_022,Teclado,Periféricos,Nordeste,10.0,250.0
136,2026-04-10,Cliente_011,Smartphone,Celulares,Norte,1.0,2200.0
137,2026-12-08,Cliente_022,Monitor,Computadores,Centro-Oeste,9.0,1200.0
138,2026-07-30,Cliente_008,Tablet,Celulares,Sudeste,2.0,1800.0
139,2026-03-18,Cliente_008,Teclado,Periféricos,Sul,1.0,250.0
140,2026-05-18,Cliente_007,Notebook,Computadores,Centro-Oeste,2.0,3500.0
141,DATA INVALIDA,Cliente_011,Notebook,Computadores,Nordeste,5.0,3500.0
142,2026-12-15,Cliente_002,Notebook,Computadores,Nordeste,7.0,3500.0
143,2026-02-11,Cliente_005,Monitor,Computadores,Sul,5.0,
144,2026-09-11,Cliente_015,Mouse,Periféricos,Sudeste,5.0,120.0
145,2026-03-26,Cliente_023,  Notebook ,Computadores,Norte,6.0,3500.0
146,2026-10-13,Cliente_006,Teclado,Periféricos,Norte,6.0,250.0
147,2026-07-04,Cliente_015,Mouse,Periféricos,Sudeste,4.0,120.0
148,2026-04-18,Cliente_027,Monitor,Computadores,Sudeste,5.0,1200.0
149,2026-10-14,Cliente_025,Smartphone,Celulares,Centro-Oeste,7.0,
150,2026-08-01,Cliente_004,Monitor,Computadores,Norte,3.0,1200.0
151,2026-10-25,Cliente_026,Smartphone,Celulares,Centro-Oeste,9.0,2200.0
152,2026-01-23,Cliente_016,Notebook,Computadores,Centro-Oeste,2.0,3500.0
153,2026-05-27,Cliente_016,Notebook,Computadores,Norte,2.0,3500.0
154,2026-05-01,Cliente_012,Monitor,Computadores,Sul,1.0,1200.0
155,2026-12-21,Cliente_001,Mouse,Periféricos,Sul,2.0,120.0
156,2026-08-24,Cliente_020,Mouse,Periféricos,Sudeste,2.0,120.0
157,2026-04-20,Cliente_023,Tablet,Celulares,Nordeste,2.0,1800.0
158,2026-11-12,Cliente_023,Mouse,Periféricos,Nordeste,,120.0
159,2026-10-02,Cliente_017,Teclado,Periféricos,Sudeste,4.0,250.0
160,2026-05-26,Cliente_023,Monitor,Computadores,Centro-Oeste,2.0,1200.0
161,2026-05-09,Cliente_009,Monitor,Computadores,Sul,84.0,1200.0
162,2026-10-25,Cliente_014,Teclado,Periféricos,Centro-Oeste,4.0,250.0
163,2026-08-16,Cliente_015,Tablet,Celulares,Sudeste,7.0,1800.0
164,2026-12-19,Cliente_022,Smartphone,Celulares,Sul,4.0,
165,2026-02-06,Cliente_022,Smartphone,Celulares,Sul,5.0,2200.0
166,2026-05-10,Cliente_016,Notebook,Computadores,Sul,1.0,3500.0
167,2026-09-01,Cliente_004,Smartphone,Celulares,Norte,6.0,2200.0
168,2026-04-18,Cliente_021,Tablet,Celulares,Sudeste,1.0,1800.0
169,2026-09-01,Cliente_024,Tablet,Celulares,Sul,8.0,1800.0
170,2026-07-01,Cliente_025,Monitor,Computadores,Nordeste,4.0,1200.0
171,DATA INVALIDA,Cliente_008,Notebook,Computadores,Norte,8.0,3500.0
172,2026-08-14,Cliente_029,Tablet,Celulares,Nordeste,5.0,1800.0
173,2026-02-24,Cliente_023,Notebook,Computadores,Sul,,3500.0
174,2026-11-15,Cliente_016,Mouse,Periféricos,Centro-Oeste,4.0,120.0
175,2026-11-03,Cliente_026,Tablet,Celulares,Norte,6.0,1800.0
176,2026-09-29,Cliente_004,Mouse,Periféricos,Norte,10.0,120.0
177,2026-10-31,Cliente_002,Monitor,Computadores,Norte,10.0,1200.0
178,2026-01-08,Cliente_004,Mouse,Periféricos,Nordeste,4.0,120.0
179,2026-01-28,Cliente_024,Smartphone,Celulares,Nordeste,4.0,2200.0
180,2026-06-12,Cliente_006,Monitor,Computadores,Norte,3.0,1200.0
181,2026-10-30,Cliente_029,Mouse,Periféricos,Norte,9.0,120.0
182,2026-04-10,Cliente_006,Notebook,Computadores,Nordeste,9.0,3500.0
183,2026-04-28,Cliente_007,Smartphone,Celulares,Norte,60.0,2200.0
184,DATA INVALIDA,Cliente_021,Smartphone,Celulares,Nordeste,10.0,2200.0
185,2026-12-26,Cliente_011,Teclado,Periféricos,Norte,8.0,250.0
186,2026-08-23,Cliente_030,Smartphone,Celulares,Centro-Oeste,5.0,2200.0
187,2026-12-31,Cliente_009,Notebook,Computadores,Sul,6.0,3500.0
188,2026-11-27,Cliente_011,Mouse,Periféricos,Sudeste,10.0,120.0
189,2026-06-03,Cliente_026,Mouse,Periféricos,Centro-Oeste,1.0,120.0
190,2026-11-29,Cliente_011,Smartphone,Celulares,Nordeste,,2200.0
191,2026-04-28,Cliente_005,Tablet,Celulares,Sul,8.0,1800.0
192,2026-02-17,Cliente_012,Teclado,Periféricos,Sudeste,10.0,250.0
193,2026-07-16,Cliente_012,Mouse,Periféricos,Centro-Oeste,2.0,120.0
194,2026-05-23,Cliente_011,Teclado,Periféricos,Nordeste,5.0,250.0
195,2026-11-30,Cliente_019,Tablet,Celulares,Norte,1.0,1800.0
196,2026-02-28,Cliente_030,Teclado,Periféricos,Centro-Oeste,5.0,250.0
197,2026-12-25,Cliente_029,Smartphone,Celulares,Sul,4.0,2200.0
198,2026-02-06,Cliente_002,Mouse,Periféricos,Centro-Oeste,5.0,120.0
199,2026-04-04,Cliente_013,  Tablet ,Celulares,Nordeste,6.0,1800.0
200,2026-09-06,Cliente_001,Mouse,Periféricos,Centro-Oeste,2.0,120.0
201,2026-09-09,Cliente_005,Monitor,Computadores,Nordeste,9.0,1200.0
202,2026-12-14,Cliente_022,Teclado,Periféricos,Sudeste,,250.0
203,2026-12-20,Cliente_028,Monitor,Computadores,Norte,6.0,1200.0
204,2026-09-07,Cliente_020,Tablet,Celulares,Norte,5.0,1800.0
205,2026-04-12,Cliente_015,Notebook,Computadores,Centro-Oeste,6.0,3500.0
206,2026-01-23,Cliente_025,Teclado,Periféricos,Sudeste,5.0,
207,2026-01-29,Cliente_020,Smartphone,Celulares,Centro-Oeste,3.0,2200.0
208,2026-11-06,Cliente_011,Smartphone,Celulares,Centro-Oeste,4.0,2200.0
209,2026-01-22,Cliente_017,Monitor,Computadores,Centro-Oeste,10.0,1200.0
210,2026-02-05,Cliente_022,Smartphone,Celulares,Nordeste,5.0,2200.0
211,2026-09-01,Cliente_020,Smartphone,Celulares,Centro-Oeste,10.0,13200.0
212,2026-05-29,Cliente_018,Tablet,Celulares,Sul,8.0,1800.0
213,2026-12-05,Cliente_003,Teclado,Periféricos,Norte,9.0,250.0
214,2026-01-08,Cliente_024,Teclado,Periféricos,Centro-Oeste,3.0,250.0
215,2026-09-08,Cliente_027,Monitor,Computadores,Nordeste,2.0,1200.0
216,2026-02-18,Cliente_015,Mouse,Periféricos,Norte,10.0,120.0
217,2026-10-28,Cliente_011,Mouse,Periféricos,Sudeste,10.0,120.0
218,2026-08-17,Cliente_015,Smartphone,Celulares,Nordeste,3.0,2200.0
219,2026-02-02,Cliente_010,Notebook,Computadores,Sul,9.0,3500.0
220,2026-03-06,Cliente_009,Mouse,Periféricos,Sul,6.0,120.0
221,2026-10-02,Cliente_003,Monitor,Computadores,Centro-Oeste,9.0,1200.0
222,2026-07-16,Cliente_029,Mouse,Periféricos,Nordeste,8.0,120.0
223,2026-02-28,Cliente_014,Tablet,Celulares,Nordeste,6.0,1800.0
224,2026-12-31,Cliente_010,Tablet,Celulares,Sul,5.0,1800.0
225,2026-06-29,Cliente_004,Notebook,Computadores,Sudeste,10.0,3500.0
226,2026-12-18,Cliente_018,Smartphone,Celulares,Sudeste,1.0,2200.0
227,2026-04-04,Cliente_008,Monitor,Computadores,Sudeste,3.0,1200.0
228,2026-02-22,Cliente_005,Tablet,Celulares,Norte,1.0,1800.0
229,2026-10-19,Cliente_013,Teclado,Periféricos,Norte,9.0,
230,2026-03-14,Cliente_001,Notebook,Computadores,Centro-Oeste,,
231,2026-10-12,Cliente_026,Teclado,Periféricos,Sul,,250.0
232,2026-03-27,Cliente_030,Mouse,Periféricos,Norte,4.0,120.0
233,2026-08-17,Cliente_023,Smartphone,Celulares,Sul,8.0,2200.0
234,2026-02-21,Cliente_022,Smartphone,Celulares,Sul,3.0,2200.0
235,2026-05-04,Cliente_019,Mouse,Periféricos,Nordeste,4.0,120.0
236,2026-09-28,Cliente_028,Teclado,Periféricos,Sul,5.0,250.0
237,2026-01-22,Cliente_009,Teclado,Periféricos,Norte,5.0,250.0
238,2026-09-25,Cliente_030,Teclado,Periféricos,Sul,3.0,250.0
239,2026-09-26,Cliente_030,Tablet,Celulares,Nordeste,8.0,1800.0
240,2026-04-11,Cliente_017,Notebook,Computadores,Sudeste,3.0,3500.0
241,2026-11-25,Cliente_021,Notebook,Computadores,Centro-Oeste,5.0,3500.0
242,2026-11-01,Cliente_010,Notebook,Computadores,Norte,1.0,
243,2026-09-26,Cliente_029,Notebook,Computadores,Sudeste,8.0,3500.0
244,2026-09-04,Cliente_003,Notebook,Computadores,Norte,1.0,3500.0
245,2026-03-21,Cliente_025,Teclado,Periféricos,Sudeste,9.0,250.0
246,2026-03-05,Cliente_027,Monitor,Computadores,Sudeste,10.0,1200.0
247,2026-06-29,Cliente_018,Notebook,Computadores,Centro-Oeste,,3500.0
248,2026-03-14,Cliente_013,Tablet,Celulares,Sul,1.0,1800.0
249,2026-11-16,Cliente_003,Mouse,Periféricos,Nordeste,4.0,120.0
250,2026-08-28,Cliente_014,Teclado,Periféricos,Centro-Oeste,3.0,250.0
251,2026-10-11,Cliente_028,Teclado,Periféricos,Norte,9.0,250.0
252,2026-01-14,Cliente_003,Smartphone,Celulares,Centro-Oeste,8.0,2200.0
253,2026-05-29,Cliente_013,Smartphone,Celulares,Sul,4.0,2200.0
254,2026-10-24,Cliente_030,Teclado,Periféricos,Centro-Oeste,3.0,250.0
255,2026-02-18,Cliente_001,Monitor,Computadores,Norte,1.0,1200.0
256,2026-01-16,Cliente_029,Notebook,Computadores,Centro-Oeste,10.0,3500.0
257,2026-08-21,Cliente_012,Notebook,Computadores,Norte,9.0,3500.0
258,2026-02-24,Cliente_003,Mouse,Periféricos,Sudeste,2.0,120.0
259,2026-09-13,Cliente_016,Tablet,Celulares,Norte,4.0,1800.0
260,2026-09-19,Cliente_030,Notebook,Computadores,Sul,9.0,3500.0
261,2026-03-22,Cliente_016,Smartphone,Celulares,Nordeste,1.0,2200.0
262,2026-04-14,Cliente_003,Notebook,Computadores,Sul,9.0,3500.0
263,2026-10-04,Cliente_013,Tablet,Celulares,Sul,5.0,1800.0
264,2026-05-01,Cliente_007,Monitor,Computadores,Sudeste,6.0,1200.0
265,2026-12-19,Cliente_007,Mouse,Periféricos,Sul,,120.0
266,2026-06-18,Cliente_002,Teclado,Periféricos,Nordeste,4.0,250.0
267,2026-02-06,Cliente_010,Smartphone,Celulares,Sudeste,1.0,2200.0
268,2026-04-19,Cliente_016,Monitor,Computadores,Norte,2.0,1200.0
269,2026-11-28,Cliente_017,Teclado,Periféricos,Norte,4.0,1500.0
270,2026-01-08,Cliente_022,Tablet,Celulares,Norte,7.0,1800.0
271,2026-07-23,Cliente_012,Smartphone,Celulares,Norte,1.0,2200.0
272,2026-03-06,Cliente_005,Monitor,Computadores,Sudeste,10.0,1200.0
273,2026-11-11,Cliente_029,Tablet,Celulares,Centro-Oeste,2.0,1800.0
274,2026-04-11,Cliente_003,Mouse,Periféricos,Norte,7.0,120.0
275,2026-06-07,Cliente_015,Tablet,Celulares,Centro-Oeste,5.0,1800.0
276,2026-01-03,Cliente_009,Monitor,Computadores,Centro-Oeste,7.0,1200.0
277,2026-09-02,Cliente_018,Monitor,Computadores,Norte,,1200.0
278,2026-08-13,Cliente_015,Mouse,Periféricos,Sudeste,3.0,120.0
279,2026-11-27,Cliente_013,Mouse,Periféricos,Nordeste,5.0,120.0
280,2026-06-25,Cliente_002,Smartphone,Celulares,Sul,1.0,2200.0
281,2026-07-05,Cliente_018,Smartphone,Celulares,Norte,10.0,2200.0
282,2026-06-04,Cliente_006,Monitor,Computadores,Sul,5.0,1200.0
283,2026-02-24,Cliente_015,Teclado,Periféricos,Nordeste,108.0,250.0
284,2026-03-25,Cliente_027,Notebook,Computadores,Sudeste,5.0,3500.0
285,2026-08-05,Cliente_023,Teclado,Periféricos,Norte,,250.0
286,2026-07-30,Cliente_019,  Teclado ,Periféricos,Sudeste,3.0,250.0
287,2026-08-17,Cliente_006,Teclado,Periféricos,Sudeste,9.0,250.0
288,2026-12-20,Cliente_017,Notebook,Computadores,Centro-Oeste,4.0,3500.0
289,2026-09-24,Cliente_030,Mouse,Periféricos,Nordeste,4.0,120.0
290,2026-11-14,Cliente_001,Notebook,Computadores,Nordeste,3.0,3500.0
291,2026-02-25,Cliente_004,Smartphone,Celulares,Centro-Oeste,7.0,2200.0
292,2026-05-04,Cliente_005,Smartphone,Celulares,Centro-Oeste,6.0,2200.0
293,2026-09-14,Cliente_023,Monitor,Computadores,Sudeste,9.0,1200.0
294,2026-10-16,Cliente_027,Monitor,Computadores,Nordeste,3.0,1200.0
295,2026-05-16,Cliente_004,Notebook,Computadores,Sudeste,3.0,3500.0
296,2026-09-11,Cliente_009,Tablet,Celulares,Sudeste,2.0,1800.0
297,2026-01-04,Cliente_004,Monitor,Computadores,Norte,1.0,1200.0
298,2026-07-03,Cliente_028,  Monitor ,Computadores,Norte,4.0,1200.0
299,2026-09-27,Cliente_030,Notebook,Computadores,Nordeste,6.0,3500.0
300,2026-05-05,Cliente_025,Monitor,Computadores,Centro-Oeste,10.0,1200.0
301,2026-03-27,Cliente_016,Mouse,Periféricos,Sudeste,7.0,120.0
302,2026-05-12,Cliente_003,Mouse,Periféricos,Sul,9.0,120.0
303,2026-03-28,Cliente_018,Notebook,Computadores,Sudeste,10.0,3500.0
304,2026-02-02,Cliente_023,Smartphone,Celulares,Sudeste,2.0,2200.0
305,2026-04-02,Cliente_029,Notebook,Computadores,Centro-Oeste,7.0,3500.0
306,2026-08-16,Cliente_028,Mouse,Periféricos,Nordeste,1.0,720.0
307,2026-06-12,Cliente_028,Mouse,Periféricos,Sul,1.0,120.0
308,2026-01-14,Cliente_023,Smartphone,Celulares,Norte,9.0,2200.0
309,2026-01-26,Cliente_012,Smartphone,Celulares,Nordeste,3.0,2200.0
310,2026-11-21,Cliente_008,Teclado,Periféricos,Norte,2.0,250.0
311,2026-08-13,Cliente_016,Notebook,Computadores,Centro-Oeste,10.0,21000.0
312,2026-12-11,Cliente_018,Teclado,Periféricos,Centro-Oeste,8.0,250.0
313,2026-08-04,Cliente_030,Smartphone,Celulares,Sul,6.0,2200.0
314,2026-05-17,Cliente_001,Teclado,Periféricos,Sul,10.0,250.0
315,2026-10-16,Cliente_016,Notebook,Computadores,Norte,10.0,3500.0
316,2026-02-24,Cliente_025,Tablet,Celulares,Centro-Oeste,10.0,1800.0
317,2026-06-01,Cliente_020,Mouse,Periféricos,Centro-Oeste,8.0,120.0
318,2026-09-01,Cliente_003,Mouse,Periféricos,Centro-Oeste,4.0,120.0
319,2026-12-29,Cliente_013,Smartphone,Celulares,Nordeste,4.0,2200.0
320,2026-11-24,Cliente_007,Notebook,Computadores,Sul,8.0,3500.0
321,2026-03-04,Cliente_002,Notebook,Computadores,Nordeste,8.0,3500.0
322,2026-11-17,Cliente_011,Mouse,Periféricos,Sudeste,2.0,120.0
323,2026-12-31,Cliente_026,Teclado,Periféricos,Norte,8.0,250.0
324,2026-07-30,Cliente_026,Monitor,Computadores,Norte,6.0,1200.0
325,2026-10-28,Cliente_008,Mouse,Periféricos,Nordeste,6.0,120.0
326,2026-12-26,Cliente_024,Mouse,Periféricos,Nordeste,7.0,120.0
327,2026-09-11,Cliente_018,Teclado,Periféricos,Centro-Oeste,1.0,250.0
328,2026-09-16,Cliente_019,Smartphone,Celulares,Centro-Oeste,6.0,2200.0
329,2026-08-22,Cliente_009,Tablet,Celulares,Centro-Oeste,4.0,1800.0
330,2026-03-15,Cliente_009,Smartphone,Celulares,Nordeste,7.0,2200.0
331,2026-02-20,Cliente_007,Notebook,Computadores,Nordeste,7.0,3500.0
332,2026-02-16,Cliente_013,Teclado,Periféricos,Nordeste,3.0,250.0
333,2026-12-18,Cliente_014,Notebook,Computadores,Nordeste,7.0,3500.0
334,2026-06-11,Cliente_017,Teclado,Periféricos,Centro-Oeste,,250.0
335,2026-05-31,Cliente_018,Monitor,Computadores,Centro-Oeste,7.0,
336,2026-12-10,Cliente_028,Smartphone,Celulares,Nordeste,6.0,2200.0
337,2026-08-07,Cliente_014,Smartphone,Celulares,Sul,2.0,2200.0
338,2026-08-10,Cliente_019,Notebook,Computadores,Sudeste,3.0,3500.0
339,2026-04-20,Cliente_004,Monitor,Computadores,Nordeste,9.0,1200.0
340,2026-11-07,Cliente_030,Notebook,Computadores,Centro-Oeste,5.0,3500.0
