id_venda,data_venda,cliente,produto,categoria,regiao,quantidade,preco_unitario,receita_total,mes,trimestre,ano,faixa_receita_item
26,2024-12-02,Cliente_013,Notebook,Computadores,Sul,7,3500.0,24500.0,12,Q4,2024,Alto Valor
27,2024-08-22,Cliente_003,Mouse,Periféricos,Norte,5,120.0,600.0,8,Q3,2024,Médio Valor
28,2024-05-15,Cliente_018,Smartphone,Celulares,Nordeste,9,2200.0,19800.0,5,Q2,2024,Alto Valor
29,2024-01-05,Cliente_029,Teclado,Periféricos,Sudeste,9,250.0,2250.0,1,Q1,2024,Médio Valor
30,2024-03-20,Cliente_016,Mouse,Periféricos,Nordeste,9,120.0,1080.0,3,Q1,2024,Médio Valor
31,2024-11-20,Cliente_024,Notebook,Computadores,Centro-Oeste,2,3500.0,7000.0,11,Q4,2024,Alto Valor
34,2024-06-30,Cliente_028,Mouse,Periféricos,Sul,2,120.0,240.0,6,Q2,2024,Baixo Valor
35,2024-01-13,Cliente_008,Smartphone,Celulares,Nordeste,7,2200.0,15400.0,1,Q1,2024,Alto Valor
36,2024-07-14,Cliente_026,Smartphone,Celulares,Sul,2,2200.0,4400.0,7,Q3,2024,Médio Valor
37,2024-12-03,Cliente_013,Smartphone,Celulares,Norte,1,2200.0,2200.0,12,Q4,2024,Médio Valor
38,2024-02-29,Cliente_012,Tablet,Celulares,Nordeste,10,1800.0,18000.0,2,Q1,2024,Alto Valor
39,2024-09-18,Cliente_026,Monitor,Computadores,Norte,10,1200.0,12000.0,9,Q3,2024,Alto Valor
40,2024-07-05,Cliente_029,Mouse,Periféricos,Nordeste,4,120.0,480.0,7,Q3,2024,Baixo Valor
41,2024-12-07,Cliente_022,Teclado,Periféricos,Sul,5,250.0,1250.0,12,Q4,2024,Médio Valor
42,2024-06-03,Cliente_011,Teclado,Periféricos,Centro-Oeste,10,250.0,2500.0,6,Q2,2024,Médio Valor
43,2024-12-11,Cliente_017,Monitor,Computadores,Norte,8,1200.0,9600.0,12,Q4,2024,Alto Valor
44,2024-04-30,Cliente_028,Tablet,Celulares,Sudeste,2,1800.0,3600.0,4,Q2,2024,Médio Valor
45,2024-11-18,Cliente_029,Monitor,Computadores,Sudeste,7,1200.0,8400.0,11,Q4,2024,Alto Valor
46,2024-03-31,Cliente_005,Monitor,Computadores,Centro-Oeste,4,1200.0,4800.0,3,Q1,2024,Médio Valor
47,2024-10-13,Cliente_027,Mouse,Periféricos,Norte,9,120.0,1080.0,10,Q4,2024,Médio Valor
48,2024-08-31,Cliente_008,Monitor,Computadores,Nordeste,3,1200.0,3600.0,8,Q3,2024,Médio Valor
49,2024-05-26,Cliente_005,Monitor,Computadores,Sul,2,1200.0,2400.0,5,Q2,2024,Médio Valor
50,2024-07-27,Cliente_023,Notebook,Computadores,Sudeste,7,3500.0,24500.0,7,Q3,2024,Alto Valor
52,2024-09-06,Cliente_006,Teclado,Periféricos,Centro-Oeste,4,250.0,1000.0,9,Q3,2024,Médio Valor
54,2024-07-13,Cliente_014,Notebook,Computadores,Nordeste,5,3500.0,17500.0,7,Q3,2024,Alto Valor
55,2024-01-10,Cliente_002,Notebook,Computadores,Sudeste,8,3500.0,28000.0,1,Q1,2024,Alto Valor
56,2024-01-11,Cliente_009,Smartphone,Celulares,Nordeste,4,2200.0,8800.0,1,Q1,2024,Alto Valor
57,2024-11-06,Cliente_030,Smartphone,Celulares,Nordeste,10,2200.0,22000.0,11,Q4,2024,Alto Valor
58,2024-07-22,Cliente_010,Teclado,Periféricos,Norte,7,250.0,1750.0,7,Q3,2024,Médio Valor
60,2024-07-04,Cliente_009,Notebook,Computadores,Norte,7,3500.0,24500.0,7,Q3,2024,Alto Valor
61,2024-08-26,Cliente_029,Teclado,Periféricos,Centro-Oeste,8,250.0,2000.0,8,Q3,2024,Médio Valor
62,2024-10-18,Cliente_026,Smartphone,Celulares,Nordeste,8,2200.0,17600.0,10,Q4,2024,Alto Valor
63,2024-11-01,Cliente_016,Tablet,Celulares,Norte,5,1800.0,9000.0,11,Q4,2024,Alto Valor
64,2024-11-26,Cliente_022,Smartphone,Celulares,Norte,8,2200.0,17600.0,11,Q4,2024,Alto Valor
65,2024-10-10,Cliente_009,Tablet,Celulares,Sul,8,1800.0,14400.0,10,Q4,2024,Alto Valor
66,2024-06-10,Cliente_024,Notebook,Computadores,Norte,4,3500.0,14000.0,6,Q2,2024,Alto Valor
67,2024-05-24,Cliente_005,Teclado,Periféricos,Nordeste,10,250.0,2500.0,5,Q2,2024,Médio Valor
68,2024-10-10,Cliente_010,Notebook,Computadores,Centro-Oeste,1,17500.0,17500.0,10,Q4,2024,Alto Valor
69,2024-06-23,Cliente_003,Monitor,Computadores,Norte,8,1200.0,9600.0,6,Q2,2024,Alto Valor
70,2024-03-18,Cliente_020,Mouse,Periféricos,Norte,1,120.0,120.0,3,Q1,2024,Baixo Valor
71,2024-09-24,Cliente_002,Teclado,Periféricos,Norte,4,250.0,1000.0,9,Q3,2024,Médio Valor
72,2024-04-16,Cliente_014,Mouse,Periféricos,Centro-Oeste,2,120.0,240.0,4,Q2,2024,Baixo Valor
73,2024-08-28,Cliente_030,Mouse,Periféricos,Nordeste,10,120.0,1200.0,8,Q3,2024,Médio Valor
74,2024-12-04,Cliente_005,Mouse,Periféricos,Sudeste,10,120.0,1200.0,12,Q4,2024,Médio Valor
75,2024-06-06,Cliente_013,Notebook,Computadores,Nordeste,3,3500.0,10500.0,6,Q2,2024,Alto Valor
76,2024-09-09,Cliente_008,Teclado,Periféricos,Norte,9,1250.0,11250.0,9,Q3,2024,Alto Valor
77,2024-12-10,Cliente_009,Teclado,Periféricos,Sul,1,250.0,250.0,12,Q4,2024,Baixo Valor
78,2024-11-21,Cliente_006,Teclado,Periféricos,Nordeste,7,250.0,1750.0,11,Q4,2024,Médio Valor
79,2024-05-27,Cliente_004,Monitor,Computadores,Centro-Oeste,8,1200.0,9600.0,5,Q2,2024,Alto Valor
80,2024-12-02,Cliente_015,Teclado,Periféricos,Sudeste,1,250.0,250.0,12,Q4,2024,Baixo Valor
82,2024-06-08,Cliente_004,Mouse,Periféricos,Sul,3,120.0,360.0,6,Q2,2024,Baixo Valor
83,2024-09-17,Cliente_007,Monitor,Computadores,Norte,5,1200.0,6000.0,9,Q3,2024,Alto Valor
84,2024-02-05,Cliente_010,Teclado,Periféricos,Nordeste,3,250.0,750.0,2,Q1,2024,Médio Valor
85,2024-12-03,Cliente_015,Teclado,Periféricos,Nordeste,10,250.0,2500.0,12,Q4,2024,Médio Valor
86,2024-10-19,Cliente_013,Smartphone,Celulares,Centro-Oeste,4,2200.0,8800.0,10,Q4,2024,Alto Valor
87,2024-09-10,Cliente_004,Mouse,Periféricos,Norte,3,120.0,360.0,9,Q3,2024,Baixo Valor
88,2024-03-14,Cliente_023,Monitor,Computadores,Centro-Oeste,1,1200.0,1200.0,3,Q1,2024,Médio Valor
89,2024-06-17,Cliente_028,Mouse,Periféricos,Norte,2,120.0,240.0,6,Q2,2024,Baixo Valor
92,2024-12-15,Cliente_030,Monitor,Computadores,Norte,10,1200.0,12000.0,12,Q4,2024,Alto Valor
93,2024-08-24,Cliente_018,Smartphone,Celulares,Sul,4,2200.0,8800.0,8,Q3,2024,Alto Valor
94,2024-06-25,Cliente_013,Notebook,Computadores,Centro-Oeste,8,3500.0,28000.0,6,Q2,2024,Alto Valor
95,2024-07-14,Cliente_009,Notebook,Computadores,Sudeste,4,3500.0,14000.0,7,Q3,2024,Alto Valor
96,2024-11-06,Cliente_008,Teclado,Periféricos,Sul,1,250.0,250.0,11,Q4,2024,Baixo Valor
97,2024-12-13,Cliente_002,Teclado,Periféricos,Nordeste,5,250.0,1250.0,12,Q4,2024,Médio Valor
98,2024-10-23,Cliente_026,Monitor,Computadores,Norte,1,1200.0,1200.0,10,Q4,2024,Médio Valor
99,2024-09-13,Cliente_024,Tablet,Celulares,Nordeste,9,1800.0,16200.0,9,Q3,2024,Alto Valor
100,2024-02-08,Cliente_026,Notebook,Computadores,Norte,8,3500.0,28000.0,2,Q1,2024,Alto Valor
103,2024-11-28,Cliente_029,Mouse,Periféricos,Norte,5,120.0,600.0,11,Q4,2024,Médio Valor
104,2024-08-20,Cliente_029,Smartphone,Celulares,Centro-Oeste,7,2200.0,15400.0,8,Q3,2024,Alto Valor
105,2024-09-07,Cliente_008,Mouse,Periféricos,Nordeste,2,120.0,240.0,9,Q3,2024,Baixo Valor
106,2024-10-05,Cliente_027,Notebook,Computadores,Centro-Oeste,6,3500.0,21000.0,10,Q4,2024,Alto Valor
107,2024-11-24,Cliente_007,Notebook,Computadores,Sudeste,4,3500.0,14000.0,11,Q4,2024,Alto Valor
108,2024-10-27,Cliente_028,Teclado,Periféricos,Sul,4,1250.0,5000.0,10,Q4,2024,Alto Valor
109,2024-05-08,Cliente_019,Smartphone,Celulares,Nordeste,9,2200.0,19800.0,5,Q2,2024,Alto Valor
110,2024-05-15,Cliente_017,Notebook,Computadores,Norte,3,3500.0,10500.0,5,Q2,2024,Alto Valor
111,2024-09-14,Cliente_021,Notebook,Computadores,Sudeste,8,3500.0,28000.0,9,Q3,2024,Alto Valor
112,2024-07-24,Cliente_005,Notebook,Computadores,Sudeste,8,3500.0,28000.0,7,Q3,2024,Alto Valor
113,2024-11-15,Cliente_020,Smartphone,Celulares,Centro-Oeste,5,2200.0,11000.0,11,Q4,2024,Alto Valor
114,2024-12-01,Cliente_011,Notebook,Computadores,Centro-Oeste,2,3500.0,7000.0,12,Q4,2024,Alto Valor
115,2024-02-18,Cliente_003,Monitor,Computadores,Sudeste,7,1200.0,8400.0,2,Q1,2024,Alto Valor
116,2024-02-19,Cliente_022,Notebook,Computadores,Sudeste,7,3500.0,24500.0,2,Q1,2024,Alto Valor
117,2024-12-06,Cliente_004,Monitor,Computadores,Norte,6,1200.0,7200.0,12,Q4,2024,Alto Valor
118,2024-03-20,Cliente_019,Teclado,Periféricos,Sul,4,250.0,1000.0,3,Q1,2024,Médio Valor
119,2024-11-14,Cliente_006,Monitor,Computadores,Nordeste,9,1200.0,10800.0,11,Q4,2024,Alto Valor
120,2024-06-22,Cliente_001,Mouse,Periféricos,Sudeste,5,120.0,600.0,6,Q2,2024,Médio Valor
121,2024-04-20,Cliente_020,Mouse,Periféricos,Sudeste,9,120.0,1080.0,4,Q2,2024,Médio Valor
122,2024-03-21,Cliente_014,Notebook,Computadores,Nordeste,3,3500.0,10500.0,3,Q1,2024,Alto Valor
123,2024-02-28,Cliente_008,Smartphone,Celulares,Centro-Oeste,9,2200.0,19800.0,2,Q1,2024,Alto Valor
124,2024-01-04,Cliente_016,Teclado,Periféricos,Centro-Oeste,1,250.0,250.0,1,Q1,2024,Baixo Valor
125,2024-07-13,Cliente_024,Smartphone,Celulares,Sudeste,3,2200.0,6600.0,7,Q3,2024,Alto Valor
126,2024-08-23,Cliente_004,Monitor,Computadores,Centro-Oeste,1,1200.0,1200.0,8,Q3,2024,Médio Valor
127,2024-03-28,Cliente_008,Notebook,Computadores,Centro-Oeste,6,3500.0,21000.0,3,Q1,2024,Alto Valor
128,2024-09-25,Cliente_021,Teclado,Periféricos,Sudeste,7,250.0,1750.0,9,Q3,2024,Médio Valor
129,2024-04-09,Cliente_005,Teclado,Periféricos,Nordeste,9,250.0,2250.0,4,Q2,2024,Médio Valor
130,2024-11-04,Cliente_019,Smartphone,Celulares,Norte,3,2200.0,6600.0,11,Q4,2024,Alto Valor
131,2024-11-25,Cliente_015,Monitor,Computadores,Nordeste,10,1200.0,12000.0,11,Q4,2024,Alto Valor
132,2024-01-29,Cliente_021,Tablet,Celulares,Sudeste,10,1800.0,18000.0,1,Q1,2024,Alto Valor
133,2024-09-16,Cliente_019,Teclado,Periféricos,Sul,10,250.0,2500.0,9,Q3,2024,Médio Valor
134,2024-08-31,Cliente_003,Tablet,Celulares,Norte,10,1800.0,18000.0,8,Q3,2024,Alto Valor
135,2024-01-21,Cliente_010,Mouse,Periféricos,Centro-Oeste,3,120.0,360.0,1,Q1,2024,Baixo Valor
136,2024-12-13,Cliente_010,Monitor,Computadores,Nordeste,6,1200.0,7200.0,12,Q4,2024,Alto Valor
137,2024-03-17,Cliente_013,Mouse,Periféricos,Sul,10,120.0,1200.0,3,Q1,2024,Médio Valor
138,2024-06-07,Cliente_022,Teclado,Periféricos,Norte,2,250.0,500.0,6,Q2,2024,Médio Valor
139,2024-09-17,Cliente_008,Notebook,Computadores,Sul,7,3500.0,24500.0,9,Q3,2024,Alto Valor
140,2024-05-31,Cliente_011,Smartphone,Celulares,Norte,2,2200.0,4400.0,5,Q2,2024,Médio Valor
141,2024-07-11,Cliente_002,Smartphone,Celulares,Centro-Oeste,10,2200.0,22000.0,7,Q3,2024,Alto Valor
142,2024-08-15,Cliente_026,Tablet,Celulares,Centro-Oeste,4,1800.0,7200.0,8,Q3,2024,Alto Valor
143,2024-12-13,Cliente_006,Smartphone,Celulares,Sul,6,2200.0,13200.0,12,Q4,2024,Alto Valor
144,2024-05-08,Cliente_004,Teclado,Periféricos,Nordeste,3,250.0,750.0,5,Q2,2024,Médio Valor
145,2024-05-19,Cliente_029,Notebook,Computadores,Nordeste,3,3500.0,10500.0,5,Q2,2024,Alto Valor
146,2024-01-28,Cliente_004,Notebook,Computadores,Nordeste,7,3500.0,24500.0,1,Q1,2024,Alto Valor
147,2024-01-20,Cliente_001,Smartphone,Celulares,Sudeste,3,2200.0,6600.0,1,Q1,2024,Alto Valor
148,2024-04-20,Cliente_010,Notebook,Computadores,Sudeste,5,3500.0,17500.0,4,Q2,2024,Alto Valor
149,2024-08-02,Cliente_021,Notebook,Computadores,Norte,4,3500.0,14000.0,8,Q3,2024,Alto Valor
